AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
15-19|0.6|1.6|1.0|19|VII Hepatic tumors|18870978|2002
5-9|~|~|~|~|VII Hepatic tumors|18238526|2002
<1|4.9|10.8|7.4|27|VII Hepatic tumors|3625838|2002
1-4|2.7|4.8|3.7|52|VII(a) Hepatoblastoma|14193665|2002
10-14|~|~|~|~|VII(a) Hepatoblastoma|19507073|2002
15-19|~|~|~|~|VII(a) Hepatoblastoma|18870978|2002
5-9|~|~|~|~|VII(a) Hepatoblastoma|18238526|2002
<1|4.7|10.5|7.2|26|VII(a) Hepatoblastoma|3625838|2002
1-4|~|~|~|~|VII(b) Hepatic carcinomas|14193665|2002
10-14|~|~|~|~|VII(b) Hepatic carcinomas|19507073|2002
15-19|0.6|1.5|1.0|18|VII(b) Hepatic carcinomas|18870978|2002
5-9|~|~|~|~|VII(b) Hepatic carcinomas|18238526|2002
<1|~|~|~|~|VII(b) Hepatic carcinomas|3625838|2002
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|14193665|2002
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|19507073|2002
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|18870978|2002
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|18238526|2002
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|3625838|2002
1-4|1.0|2.4|1.6|23|VIII Malignant bone tumors|14193665|2002
10-14|11.6|14.8|13.1|256|VIII Malignant bone tumors|19507073|2002
15-19|14.2|17.9|16.0|301|VIII Malignant bone tumors|18870978|2002
5-9|5.1|7.4|6.1|112|VIII Malignant bone tumors|18238526|2002
<1|~|~|~|~|VIII Malignant bone tumors|3625838|2002
1-4|~|~|~|~|VIII(a) Osteosarcomas|14193665|2002
10-14|6.6|9.1|7.8|152|VIII(a) Osteosarcomas|19507073|2002
15-19|7.3|10.0|8.5|161|VIII(a) Osteosarcomas|18870978|2002
5-9|2.2|3.8|2.9|53|VIII(a) Osteosarcomas|18238526|2002
<1|~|~|~|~|VIII(a) Osteosarcomas|3625838|2002
1-4|~|~|~|~|VIII(b) Chondrosarcomas|14193665|2002
10-14|~|~|~|~|VIII(b) Chondrosarcomas|19507073|2002
15-19|1.1|2.3|1.6|30|VIII(b) Chondrosarcomas|18870978|2002
5-9|~|~|~|~|VIII(b) Chondrosarcomas|18238526|2002
<1|~|~|~|~|VIII(b) Chondrosarcomas|3625838|2002
1-4|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|14193665|2002
10-14|3.3|5.1|4.1|80|VIII(c) Ewing tumor and related sarcomas of bone|19507073|2002
15-19|3.6|5.6|4.6|86|VIII(c) Ewing tumor and related sarcomas of bone|18870978|2002
5-9|2.1|3.7|2.8|51|VIII(c) Ewing tumor and related sarcomas of bone|18238526|2002
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|3625838|2002
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|14193665|2002
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|19507073|2002
15-19|0.7|1.7|1.1|21|VIII(d) Other specified malignant bone tumors|18870978|2002
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|18238526|2002
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|3625838|2002
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|14193665|2002
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|19507073|2002
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|18870978|2002
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|18238526|2002
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|3625838|2002
1-4|2.3|4.2|3.1|44|X Germ cell, trophoblastic tumors & neoplasms of gonads|14193665|2002
10-14|5.4|7.7|6.5|126|X Germ cell, trophoblastic tumors & neoplasms of gonads|19507073|2002
15-19|26.2|31.0|28.5|538|X Germ cell, trophoblastic tumors & neoplasms of gonads|18870978|2002
5-9|2.0|3.6|2.7|49|X Germ cell, trophoblastic tumors & neoplasms of gonads|18238526|2002
<1|18.5|28.7|23.2|84|X Germ cell, trophoblastic tumors & neoplasms of gonads|3625838|2002
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|14193665|2002
10-14|1.9|3.4|2.6|50|X(a) Intracranial & intraspinal germ cell tumors|19507073|2002
15-19|1.6|3.1|2.3|43|X(a) Intracranial & intraspinal germ cell tumors|18870978|2002
5-9|0.8|1.8|1.2|22|X(a) Intracranial & intraspinal germ cell tumors|18238526|2002
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|3625838|2002
1-4|0.8|2.1|1.3|19|X(b) Malignant extracranial & extragonadal germ cell tumors|14193665|2002
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|19507073|2002
15-19|1.3|2.6|1.9|35|X(b) Malignant extracranial & extragonadal germ cell tumors|18870978|2002
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|18238526|2002
<1|12.1|20.7|16.0|58|X(b) Malignant extracranial & extragonadal germ cell tumors|3625838|2002
1-4|0.9|2.2|1.4|20|X(c) Malignant gonadal germ cell tumors|14193665|2002
10-14|2.5|4.1|3.2|63|X(c) Malignant gonadal germ cell tumors|19507073|2002
15-19|20.3|24.6|22.4|422|X(c) Malignant gonadal germ cell tumors|18870978|2002
5-9|0.8|1.9|1.3|23|X(c) Malignant gonadal germ cell tumors|18238526|2002
<1|3.2|8.2|5.2|19|X(c) Malignant gonadal germ cell tumors|3625838|2002
1-4|~|~|~|~|X(d) Gonadal carcinomas|14193665|2002
10-14|~|~|~|~|X(d) Gonadal carcinomas|19507073|2002
15-19|0.6|1.6|1.1|20|X(d) Gonadal carcinomas|18870978|2002
5-9|~|~|~|~|X(d) Gonadal carcinomas|18238526|2002
<1|~|~|~|~|X(d) Gonadal carcinomas|3625838|2002
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|14193665|2002
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|19507073|2002
15-19|0.6|1.5|1.0|18|X(e) Other and unspecified malignant gonadal tumors|18870978|2002
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|18238526|2002
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|3625838|2002
1-4|1.5|3.2|2.3|32|XI Other malignant epithelial neoplasms and malignant melanomas|14193665|2002
10-14|11.8|15.1|13.4|261|XI Other malignant epithelial neoplasms and malignant melanomas|19507073|2002
15-19|46.4|52.8|49.5|935|XI Other malignant epithelial neoplasms and malignant melanomas|18870978|2002
5-9|3.1|5.0|4.0|73|XI Other malignant epithelial neoplasms and malignant melanomas|18238526|2002
<1|~|~|~|~|XI Other malignant epithelial neoplasms and malignant melanomas|3625838|2002
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|14193665|2002
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|19507073|2002
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|18870978|2002
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|18238526|2002
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|3625838|2002
1-4|~|~|~|~|XI(b) Thyroid carcinomas|14193665|2002
10-14|3.6|5.5|4.5|87|XI(b) Thyroid carcinomas|19507073|2002
15-19|14.8|18.5|16.6|313|XI(b) Thyroid carcinomas|18870978|2002
5-9|0.7|1.7|1.1|20|XI(b) Thyroid carcinomas|18238526|2002
<1|~|~|~|~|XI(b) Thyroid carcinomas|3625838|2002
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|14193665|2002
10-14|~|~|~|~|XI(c) Nasopharyngeal carcinomas|19507073|2002
15-19|1.3|2.6|1.9|35|XI(c) Nasopharyngeal carcinomas|18870978|2002
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|18238526|2002
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|3625838|2002
1-4|0.7|1.9|1.2|17|XI(d) Malignant melanomas|14193665|2002
10-14|3.2|5.0|4.0|79|XI(d) Malignant melanomas|19507073|2002
15-19|17.7|21.7|19.6|370|XI(d) Malignant melanomas|18870978|2002
5-9|1.2|2.5|1.8|33|XI(d) Malignant melanomas|18238526|2002
<1|~|~|~|~|XI(d) Malignant melanomas|3625838|2002
1-4|~|~|~|~|XI(e) Skin carcinomas|14193665|2002
10-14|~|~|~|~|XI(e) Skin carcinomas|19507073|2002
15-19|~|~|~|~|XI(e) Skin carcinomas|18870978|2002
5-9|~|~|~|~|XI(e) Skin carcinomas|18238526|2002
<1|~|~|~|~|XI(e) Skin carcinomas|3625838|2002
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|14193665|2002
10-14|3.1|4.9|3.9|76|XI(f) Other and unspecified carcinomas|19507073|2002
15-19|9.7|12.8|11.2|211|XI(f) Other and unspecified carcinomas|18870978|2002
5-9|~|~|~|~|XI(f) Other and unspecified carcinomas|18238526|2002
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|3625838|2002
1-4|~|~|~|~|XII Other and unspecified malignant neoplasms|14193665|2002
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|19507073|2002
15-19|1.2|2.5|1.8|34|XII Other and unspecified malignant neoplasms|18870978|2002
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|18238526|2002
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|3625838|2002
1-4|~|~|~|~|XII(a) Other specified malignant tumors|14193665|2002
10-14|~|~|~|~|XII(a) Other specified malignant tumors|19507073|2002
15-19|~|~|~|~|XII(a) Other specified malignant tumors|18870978|2002
5-9|~|~|~|~|XII(a) Other specified malignant tumors|18238526|2002
<1|~|~|~|~|XII(a) Other specified malignant tumors|3625838|2002
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|14193665|2002
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|19507073|2002
15-19|0.6|1.6|1.0|19|XII(b) Other unspecified malignant tumors|18870978|2002
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|18238526|2002
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|3625838|2002
1-4|201.9|216.7|209.2|3066|All ICCC Groups Combined|14656045|2003
10-14|123.5|133.4|128.4|2581|All ICCC Groups Combined|20102523|2003
15-19|205.7|218.7|212.2|4138|All ICCC Groups Combined|19504602|2003
5-9|109.6|119.4|114.4|2107|All ICCC Groups Combined|18417979|2003
<1|236.8|269.3|252.6|943|All ICCC Groups Combined|3732773|2003
1-4|79.2|88.6|83.8|1228|I Leukemias, myeloproliferative & myelodysplastic diseases|14656045|2003
10-14|25.5|30.1|27.7|557|I Leukemias, myeloproliferative & myelodysplastic diseases|20102523|2003
15-19|28.3|33.3|30.7|599|I Leukemias, myeloproliferative & myelodysplastic diseases|19504602|2003
5-9|36.9|42.7|39.7|732|I Leukemias, myeloproliferative & myelodysplastic diseases|18417979|2003
<1|43.7|58.4|50.6|189|I Leukemias, myeloproliferative & myelodysplastic diseases|3732773|2003
1-4|65.1|73.6|69.3|1015|I(a) Lymphoid leukemias|14656045|2003
10-14|15.7|19.4|17.5|352|I(a) Lymphoid leukemias|20102523|2003
15-19|13.6|17.2|15.3|299|I(a) Lymphoid leukemias|19504602|2003
5-9|30.3|35.6|32.9|606|I(a) Lymphoid leukemias|18417979|2003
<1|14.9|24.0|19.0|71|I(a) Lymphoid leukemias|3732773|2003
1-4|8.3|11.6|9.9|145|I(b) Acute myeloid leukemias|14656045|2003
10-14|5.7|8.1|6.8|137|I(b) Acute myeloid leukemias|20102523|2003
15-19|7.3|9.9|8.5|166|I(b) Acute myeloid leukemias|19504602|2003
5-9|3.6|5.6|4.5|83|I(b) Acute myeloid leukemias|18417979|2003
<1|13.4|22.2|17.4|65|I(b) Acute myeloid leukemias|3732773|2003
1-4|~|~|~|~|I(c) Chronic myeloproliferative diseases|14656045|2003
10-14|0.9|2.0|1.3|27|I(c) Chronic myeloproliferative diseases|20102523|2003
15-19|3.7|5.6|4.6|89|I(c) Chronic myeloproliferative diseases|19504602|2003
5-9|0.7|1.7|1.1|20|I(c) Chronic myeloproliferative diseases|18417979|2003
<1|3.7|8.9|5.9|22|I(c) Chronic myeloproliferative diseases|3732773|2003
1-4|1.8|3.6|2.6|38|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|14656045|2003
10-14|1.0|2.1|1.5|30|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20102523|2003
15-19|0.8|1.8|1.2|24|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|19504602|2003
5-9|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|18417979|2003
<1|2.5|7.0|4.3|16|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|3732773|2003
1-4|0.7|1.9|1.2|17|I(e) Unspecified and other specified leukemias|14656045|2003
10-14|~|~|~|~|I(e) Unspecified and other specified leukemias|20102523|2003
15-19|0.7|1.6|1.1|21|I(e) Unspecified and other specified leukemias|19504602|2003
5-9|~|~|~|~|I(e) Unspecified and other specified leukemias|18417979|2003
<1|~|~|~|~|I(e) Unspecified and other specified leukemias|3732773|2003
1-4|8.8|12.2|10.4|152|II Lymphomas and reticuloendothelial neoplasms|14656045|2003
10-14|20.0|24.1|22.0|442|II Lymphomas and reticuloendothelial neoplasms|20102523|2003
15-19|44.5|50.7|47.5|927|II Lymphomas and reticuloendothelial neoplasms|19504602|2003
5-9|13.3|16.9|15.0|277|II Lymphomas and reticuloendothelial neoplasms|18417979|2003
<1|6.1|12.4|8.8|33|II Lymphomas and reticuloendothelial neoplasms|3732773|2003
1-4|0.7|1.9|1.2|18|II(a) Hodgkin lymphomas|14656045|2003
10-14|10.0|13.0|11.4|229|II(a) Hodgkin lymphomas|20102523|2003
15-19|28.7|33.7|31.1|607|II(a) Hodgkin lymphomas|19504602|2003
5-9|3.4|5.3|4.3|79|II(a) Hodgkin lymphomas|18417979|2003
<1|~|~|~|~|II(a) Hodgkin lymphomas|3732773|2003
1-4|3.6|5.9|4.6|68|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|14656045|2003
10-14|7.0|9.5|8.2|164|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20102523|2003
15-19|11.7|15.0|13.3|259|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|19504602|2003
5-9|5.3|7.7|6.4|118|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|18417979|2003
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|3732773|2003
1-4|1.6|3.2|2.3|34|II(c) Burkitt lymphoma|14656045|2003
10-14|1.6|3.0|2.2|45|II(c) Burkitt lymphoma|20102523|2003
15-19|1.8|3.2|2.4|47|II(c) Burkitt lymphoma|19504602|2003
5-9|2.9|4.7|3.7|68|II(c) Burkitt lymphoma|18417979|2003
<1|~|~|~|~|II(c) Burkitt lymphoma|3732773|2003
1-4|1.4|2.9|2.0|30|II(d) Miscellaneous lymphoreticular neoplasms|14656045|2003
10-14|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|20102523|2003
15-19|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|19504602|2003
5-9|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|18417979|2003
<1|3.7|8.9|5.9|22|II(d) Miscellaneous lymphoreticular neoplasms|3732773|2003
1-4|~|~|~|~|II(e) Unspecified lymphomas|14656045|2003
10-14|~|~|~|~|II(e) Unspecified lymphomas|20102523|2003
15-19|~|~|~|~|II(e) Unspecified lymphomas|19504602|2003
5-9|~|~|~|~|II(e) Unspecified lymphomas|18417979|2003
<1|~|~|~|~|II(e) Unspecified lymphomas|3732773|2003
1-4|38.1|44.7|41.3|605|III CNS and misc intracranial and intraspinal neoplasms|14656045|2003
10-14|24.7|29.3|26.9|541|III CNS and misc intracranial and intraspinal neoplasms|20102523|2003
15-19|19.9|24.1|21.9|427|III CNS and misc intracranial and intraspinal neoplasms|19504602|2003
5-9|30.4|35.7|33.0|608|III CNS and misc intracranial and intraspinal neoplasms|18417979|2003
<1|28.9|41.1|34.6|129|III CNS and misc intracranial and intraspinal neoplasms|3732773|2003
1-4|3.8|6.1|4.8|71|III(a) Ependymomas and choroid plexus tumor|14656045|2003
10-14|0.9|2.0|1.4|28|III(a) Ependymomas and choroid plexus tumor|20102523|2003
15-19|1.3|2.6|1.9|37|III(a) Ependymomas and choroid plexus tumor|19504602|2003
5-9|1.1|2.4|1.7|31|III(a) Ependymomas and choroid plexus tumor|18417979|2003
<1|~|~|~|~|III(a) Ependymomas and choroid plexus tumor|3732773|2003
1-4|18.3|23.1|20.6|302|III(b) Astrocytomas|14656045|2003
10-14|12.9|16.2|14.5|291|III(b) Astrocytomas|20102523|2003
15-19|10.5|13.6|12.0|234|III(b) Astrocytomas|19504602|2003
5-9|14.0|17.7|15.7|290|III(b) Astrocytomas|18417979|2003
<1|10.4|18.3|13.9|52|III(b) Astrocytomas|3732773|2003
1-4|8.0|11.2|9.5|139|III(c) Intracranial and intraspinal embryonal tumors|14656045|2003
10-14|3.2|5.0|4.0|80|III(c) Intracranial and intraspinal embryonal tumors|20102523|2003
15-19|2.3|3.8|3.0|58|III(c) Intracranial and intraspinal embryonal tumors|19504602|2003
5-9|6.7|9.4|8.0|147|III(c) Intracranial and intraspinal embryonal tumors|18417979|2003
<1|9.5|17.0|12.9|48|III(c) Intracranial and intraspinal embryonal tumors|3732773|2003
1-4|4.3|6.8|5.5|80|III(d) Other gliomas|14656045|2003
10-14|4.8|7.0|5.8|117|III(d) Other gliomas|20102523|2003
15-19|3.1|4.9|3.9|77|III(d) Other gliomas|19504602|2003
5-9|5.2|7.6|6.3|116|III(d) Other gliomas|18417979|2003
<1|~|~|~|~|III(d) Other gliomas|3732773|2003
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|14656045|2003
10-14|0.5|1.3|0.8|16|III(e) Other specified intracranial & intraspinal neoplasms|20102523|2003
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|19504602|2003
5-9|0.7|1.7|1.1|21|III(e) Other specified intracranial & intraspinal neoplasms|18417979|2003
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3732773|2003
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|14656045|2003
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20102523|2003
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19504602|2003
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|18417979|2003
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|3732773|2003
1-4|18.7|23.5|21.0|308|IV Neuroblastoma and other peripheral nervous cell tumors|14656045|2003
10-14|1.2|2.4|1.7|35|IV Neuroblastoma and other peripheral nervous cell tumors|20102523|2003
15-19|~|~|~|~|IV Neuroblastoma and other peripheral nervous cell tumors|19504602|2003
5-9|2.1|3.7|2.8|52|IV Neuroblastoma and other peripheral nervous cell tumors|18417979|2003
<1|49.4|65.0|56.8|212|IV Neuroblastoma and other peripheral nervous cell tumors|3732773|2003
1-4|18.7|23.4|20.9|307|IV(a) Neuroblastoma and ganglioneuroblastoma|14656045|2003
10-14|1.0|2.1|1.5|30|IV(a) Neuroblastoma and ganglioneuroblastoma|20102523|2003
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|19504602|2003
5-9|2.0|3.6|2.7|50|IV(a) Neuroblastoma and ganglioneuroblastoma|18417979|2003
<1|49.2|64.7|56.5|211|IV(a) Neuroblastoma and ganglioneuroblastoma|3732773|2003
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|14656045|2003
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20102523|2003
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|19504602|2003
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|18417979|2003
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|3732773|2003
1-4|9.6|13.1|11.3|165|IX Soft tissue and other extraosseous sarcomas|14656045|2003
10-14|10.3|13.4|11.8|237|IX Soft tissue and other extraosseous sarcomas|20102523|2003
15-19|15.1|18.8|16.9|330|IX Soft tissue and other extraosseous sarcomas|19504602|2003
5-9|6.2|8.8|7.4|137|IX Soft tissue and other extraosseous sarcomas|18417979|2003
<1|12.7|21.3|16.6|62|IX Soft tissue and other extraosseous sarcomas|3732773|2003
1-4|6.4|9.3|7.8|114|IX(a) Rhabdomyosarcomas|14656045|2003
10-14|2.9|4.7|3.7|75|IX(a) Rhabdomyosarcomas|20102523|2003
15-19|3.3|5.2|4.2|81|IX(a) Rhabdomyosarcomas|19504602|2003
5-9|3.3|5.2|4.1|76|IX(a) Rhabdomyosarcomas|18417979|2003
<1|3.1|7.9|5.1|19|IX(a) Rhabdomyosarcomas|3732773|2003
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|14656045|2003
10-14|0.6|1.5|1.0|20|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20102523|2003
15-19|2.0|3.5|2.7|52|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|19504602|2003
5-9|0.5|1.4|0.9|16|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|18417979|2003
<1|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|3732773|2003
1-4|~|~|~|~|IX(c) Kaposi sarcoma|14656045|2003
10-14|~|~|~|~|IX(c) Kaposi sarcoma|20102523|2003
15-19|~|~|~|~|IX(c) Kaposi sarcoma|19504602|2003
5-9|~|~|~|~|IX(c) Kaposi sarcoma|18417979|2003
<1|~|~|~|~|IX(c) Kaposi sarcoma|3732773|2003
1-4|1.6|3.2|2.3|34|IX(d) Other specified soft tissue sarcomas|14656045|2003
10-14|4.5|6.5|5.4|109|IX(d) Other specified soft tissue sarcomas|20102523|2003
15-19|6.8|9.4|8.0|157|IX(d) Other specified soft tissue sarcomas|19504602|2003
5-9|1.5|2.8|2.1|38|IX(d) Other specified soft tissue sarcomas|18417979|2003
<1|3.1|7.9|5.1|19|IX(d) Other specified soft tissue sarcomas|3732773|2003
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|14656045|2003
10-14|1.1|2.3|1.6|33|IX(e) Unspecified soft tissue sarcomas|20102523|2003
15-19|1.4|2.7|2.0|39|IX(e) Unspecified soft tissue sarcomas|19504602|2003
5-9|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|18417979|2003
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|3732773|2003
1-4|~|~|~|~|Not classified by ICCC|14656045|2003
10-14|~|~|~|~|Not classified by ICCC|20102523|2003
15-19|~|~|~|~|Not classified by ICCC|19504602|2003
5-9|~|~|~|~|Not classified by ICCC|18417979|2003
<1|~|~|~|~|Not classified by ICCC|3732773|2003
1-4|6.7|9.6|8.1|118|V Retinoblastoma|14656045|2003
10-14|~|~|~|~|V Retinoblastoma|20102523|2003
15-19|~|~|~|~|V Retinoblastoma|19504602|2003
5-9|~|~|~|~|V Retinoblastoma|18417979|2003
<1|22.3|33.2|27.3|102|V Retinoblastoma|3732773|2003
1-4|17.6|22.2|19.8|290|VI Renal tumors|14656045|2003
10-14|1.1|2.2|1.6|32|VI Renal tumors|20102523|2003
15-19|0.8|1.9|1.3|25|VI Renal tumors|19504602|2003
5-9|4.3|6.5|5.3|98|VI Renal tumors|18417979|2003
<1|14.1|23.1|18.2|68|VI Renal tumors|3732773|2003
1-4|17.3|21.8|19.4|285|VI(a) Nephroblastoma and other nonepithelial renal tumors|14656045|2003
10-14|0.6|1.6|1.0|21|VI(a) Nephroblastoma and other nonepithelial renal tumors|20102523|2003
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|19504602|2003
5-9|3.9|6.0|4.9|90|VI(a) Nephroblastoma and other nonepithelial renal tumors|18417979|2003
<1|14.1|23.1|18.2|68|VI(a) Nephroblastoma and other nonepithelial renal tumors|3732773|2003
1-4|~|~|~|~|VI(b) Renal carcinomas|14656045|2003
10-14|~|~|~|~|VI(b) Renal carcinomas|20102523|2003
15-19|0.7|1.8|1.2|23|VI(b) Renal carcinomas|19504602|2003
5-9|~|~|~|~|VI(b) Renal carcinomas|18417979|2003
<1|~|~|~|~|VI(b) Renal carcinomas|3732773|2003
